Switch Name,Type,Top Housing Material,Bottom Housing Material,Stem Material,Mount Type,Spring,Act. Weight,Bot.-Out Weight,Pre-Travel Dist.,Total Travel Dist.
RK Latte,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
RK Low Profile Brown,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,,1.20 mm,
RK Low Profile Red,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,,1.20 mm,
RK Low Profile White,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,,1.30 mm,
RK Milky White,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
RK Misty,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,40g,45g,2.00 mm,4.00 mm
RK Pink,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,40g,53g,2.00 mm,4.00 mm
RK Red,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
RK Ruyin,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,41g,48g,1.90 mm,4.00 mm
RK Sakura,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
RK Sea Blue,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
RK Shimmer,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,41g,48g,1.90 mm,4.00 mm
RK Silver,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,48g,60g,1.30 mm,3.40 mm
RK Skyscan,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
RK Warrior,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,41g,48g,1.90 mm,4.00 mm
RK White Night,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,41g,48g,1.90 mm,4.00 mm
RK Yellow,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,65g,2.00 mm,4.00 mm
Roccat Titan Brown,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,,1.80 mm,3.60 mm
Roccat Titan Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,,1.40 mm,3.60 mm
Sakura Workshop Rim,Linear,PME,Nylon,HPE,PCB (5-pin),Two-Stage Gold-Plated Spring,,60g,,3.70 mm
Sarokeys BCP,Linear,Nylon,Nylon,POM,PCB (5-pin),22 mm Single-Stage Extension Spring,51g,57g,1.30 mm,3.20 mm
Sarokeys Berry Latte,Linear,POK,Nylon,POM,PCB (5-pin),20 mm Single-Stage Spring,45g,50g,2.00 mm,3.60 mm
Sarokeys OG,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,45g,,3.50 mm
Sarokeys Purple Sakura,Tactile,PC,Nylon,POM,PCB (5-pin),22 mm Single-Stage Extension Spring,50g,60g,1.80 mm,3.20 mm
Sarokeys Strawberry Milkshake S,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,52g,2.00 mm,3.80 mm
Sarokeys Strawberry Wine,Linear,POM,Nylon,UPE,PCB (5-pin),21 mm Single-Stage Extension Spring,,50g,2.00 mm,3.40 mm
Sarokeys Strawberry Wine (V2),Linear,LY,Nylon,Y3,PCB (5-pin),21 mm Single-Stage Extension Spring,45g,52g,2.00 mm,3.60 mm
Saturn Studios Búri Diamond,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,1.90 mm,3.80 mm
Saybour Optical Blue,Clicky,,,,,Stainless Steel Spring,,,,
SG Apple Pie,Linear,Nylon,POM,LY,PCB (5-pin),Stainless Steel Spring,41g,55g,2.00 mm,3.20 mm
Skyloong Chocolate Blue,Clicky,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Skyloong Chocolate Brown,Tactile,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Skyloong Chocolate Lemon,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.20 mm,3.80 mm
Skyloong Chocolate Milk,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,35g,,2.00 mm,4.00 mm
Skyloong Chocolate Red,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Skyloong Chocolate Rose,Tactile,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,65g,,2.00 mm,4.00 mm
Skyloong Chocolate Silver,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.20 mm,4.00 mm
Skyloong Geek Purple,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,40g,,2.00 mm,3.40 mm
Skyloong Geek Silver,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.20 mm,3.40 mm
Skyloong Glacier Brown,Tactile,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,55g,,2.00 mm,3.80 mm
Skyloong Glacier Clove Silent,Tactile,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,55g,,2.00 mm,3.80 mm
Skyloong Glacier Copper Silent,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,48g,60g,2.00 mm,3.80 mm
Skyloong Glacier Rose,Tactile,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,65g,,2.00 mm,3.80 mm
Skyloong Loong2 Lavender,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,40g,,1.90 mm,3.60 mm
Skyloong Loong2 Speed Silver,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.20 mm,3.60 mm
Skyloong Optical Blue V3,Clicky,PC,ABS,POM,,Stainless Steel Spring,55g,60g,2.00 mm,3.70 mm
Skyloong Optical Brown V3,Tactile,PC,ABS,POM,,Stainless Steel Spring,55g,70g,1.80 mm,3.50 mm
Skyloong Optical Green V3,Tactile,PC,ABS,POM,,Stainless Steel Spring,55g,65g,1.20 mm,3.50 mm
Skyloong Optical Red V3,Linear,PC,ABS,POM,,Stainless Steel Spring,50g,60g,1.20 mm,3.50 mm
Skyloong Optical Silver V3,Linear,PC,ABS,POM,,Stainless Steel Spring,48g,60g,1.20 mm,3.50 mm
Skyloong Optical Yellow V3,Linear,PC,ABS,POM,,Stainless Steel Spring,38g,45g,1.20 mm,3.50 mm
Skyloong Rose Pink,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,38g,,1.90 mm,3.50 mm
Skyloong Rose Silver,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.20 mm,3.50 mm
Skyloong Sea Salt Blue,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,38g,,1.90 mm,3.50 mm
SP-Star Arctic Orange,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,,,4.00 mm
SP-Star Arctic Pink Silent,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,43g,53g,1.80 mm,4.00 mm
SP-Star Arctic White,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,50g,2.00 mm,3.50 mm
