Switch Name,Type,Top Housing Material,Bottom Housing Material,Stem Material,Mount Type,Spring,Act. Weight,Bot.-Out Weight,Pre-Travel Dist.,Total Travel Dist.
Gateron Beer,Tactile,PC,PC,POM,PCB (5-pin),22 mm Lengthened Gold-Plated Spring,38g,50g,2.00 mm,3.40 mm
Gateron Black,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,70g,2.00 mm,4.00 mm
Gateron Black 2.0 Silent,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,75g,2.00 mm,4.00 mm
Gateron Black Silent,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,70g,2.00 mm,4.00 mm
Gateron Blizzard,Tactile,Nylon,POM,,PCB (5-pin),Stainless Steel Spring,60g,,2.00 mm,3.40 mm
Gateron Blizzard Silver,Tactile,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,60g,,2.00 mm,3.40 mm
Gateron Blue,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,60g,2.30 mm,4.00 mm
Gateron Blue Bubblegum,Linear,Nylon,Proprietary INK Blend,POM,PCB (5-pin),Stainless Steel Spring,55g,65g,2.00 mm,4.00 mm
Gateron Box CJ,Linear,PC,Nylon,POM,PCB (5-pin),15.4 mm Single-Stage Spring,45g,57g,2.00 mm,4.00 mm
Gateron Brown,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,70g,2.00 mm,4.00 mm
Gateron Brown Silent,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,55g,70g,2.00 mm,4.00 mm
Gateron Camping,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,42g,55g,1.20 mm,3.40 mm
Gateron CAP Anniversary,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Gold-Plated Spring,50g,65g,2.00 mm,4.00 mm
Gateron CAP Lunar Mare,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,52g,59g,2.00 mm,3.40 mm
Gateron CAP V2 Golden Brown,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
Gateron CAP V2 Golden Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Gateron CAP V2 Milky Brown,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Gateron CAP V2 Milky Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,65g,2.00 mm,4.00 mm
Gateron CJ,Linear,Proprietary INK Blend,POM,POM,PCB (5-pin),Gold-Plated Spring,50g,60g,2.00 mm,4.00 mm
Gateron Clear,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,50g,2.00 mm,4.00 mm
Gateron CM,Linear,Nylon,Nylon,POM,PCB (5-pin),20 mm Two-Stage Lengthened Spring,55g,63.5g,2.00 mm,3.60 mm
Gateron COX GN08 Yellow Silent,Linear,,,,Plate (3-pin),Stainless Steel Spring,50g,,,4.00 mm
Gateron Cream,Linear,,,,PCB (5-pin),Stainless Steel Spring,62g,,2.00 mm,4.00 mm
Gateron Cream Soda,Linear,Proprietary Milky Blend,Proprietary INK Blend,POM,PCB (5-pin),Stainless Steel Spring,,63g,,3.80 mm
Gateron Deepping - 3.7 mm,Linear,Nylon,Nylon,POM,,Stainless Steel Spring,,58g,2.00 mm,3.70 mm
Gateron Deepping - 4 mm,Linear,Nylon,Nylon,POM,,Stainless Steel Spring,,58g,2.00 mm,3.70 mm
Gateron EverFree (EF) Brown,Tactile,PC,Nylon,POM,Plate (3-pin),20.5 mm Stainless Steel Lengthened Spring,55g,63g,2.00 mm,4.00 mm
Gateron Everfree (EF) Cedar,Linear,PC,Nylon,POM,PCB (5-pin),Two-Stage Spring,55g,,2.00 mm,3.60 mm
Gateron EverFree (EF) Curry,Linear,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,50g,60g,2.00 mm,4.00 mm
Gateron EverFree (EF) Greyish,Tactile,PC,Nylon,POM,PCB (5-pin),Two-Stage Spring,59g,,2.00 mm,3.40 mm
Gateron EverFree (EF) Red,Linear,PC,Nylon,POM,PCB (5-pin),20.5 mm Stainless Steel Lengthened Spring,45g,50g,2.00 mm,4.00 mm
Gateron EverFree (EF) Yellow,Linear,PC,Nylon,POM,PCB (5-pin),15.4 mm Long Spring,50g,67g,2.00 mm,4.00 mm
Gateron FC,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Extension Spring,,,,
Gateron FF Cheese,Linear,,,,PCB (5-pin),Stainless Steel Spring,,62g,,
Gateron G Pro 2.0 Black,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Gateron G Pro 2.0 Blue,Clicky,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,2.30 mm,4.00 mm
Gateron G Pro 2.0 Brown,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Gateron G Pro 2.0 Red,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Gateron G Pro 2.0 Silver,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.20 mm,3.40 mm
Gateron G Pro 2.0 White,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,38g,,2.00 mm,4.00 mm
Gateron G Pro 2.0 Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Gateron G Pro 3.0 Black,Linear,Proprietary INK Blend,POM,POM,PCB (5-pin),22 mm Gold-Plated Spring,60g,70g,2.00 mm,4.00 mm
Gateron G Pro 3.0 Blue,Clicky,PC,Nylon,POM,PCB (5-pin),14.5 mm Long Spring,50g,60g,2.00 mm,4.00 mm
Gateron G Pro 3.0 Brown,Tactile,PC,Nylon,POM,Plate (3-pin),20.5 mm Stainless Steel Lengthened Spring,55g,63g,2.00 mm,4.00 mm
Gateron G Pro 3.0 Red,Linear,PC,Nylon,POM,PCB (5-pin),20.5 mm Stainless Steel Lengthened Spring,45g,50g,2.00 mm,4.00 mm
Gateron G Pro 3.0 Silver,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Lengthened Spring,45g,50g,1.20 mm,3.40 mm
Gateron G Pro 3.0 White,Linear,PC,Nylon,POM,Plate (3-pin),20 mm Stainless Steel Lengthened Spring,38g,45g,2.00 mm,4.00 mm
Gateron G Pro 3.0 Yellow,Linear,PC,Nylon,POM,PCB (5-pin),15.4 mm Long Spring,50g,67g,2.00 mm,4.00 mm
Gateron Green,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,80g,90g,2.00 mm,4.00 mm
Gateron Greyish,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,59g,2.00 mm,3.40 mm
Gateron Ink Black,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Colour-Coated Spring,60g,70g,2.00 mm,4.00 mm
Gateron Ink Black Silent,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Colour-Coated Spring,60g,70g,2.00 mm,4.00 mm
Gateron Ink Black V2,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Colour-Coated Spring,60g,70g,2.00 mm,4.00 mm
Gateron Ink Black V2 Silent,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Colour-Coated Spring,60g,70g,2.00 mm,4.00 mm
Gateron Ink Blue,Clicky,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,60g,75g,2.30 mm,4.00 mm
Gateron Ink Blue V2,Clicky,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,60g,75g,2.30 mm,4.00 mm
Gateron Ink Box Black,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Stainless Steel Spring,60g,70g,1.80 mm,3.60 mm
Gateron Ink Box Blue V2,Clicky,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Stainless Steel Spring,60g,75g,2.30 mm,3.60 mm
Gateron Ink Box Kangaroo - 59g,Tactile,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,44g,59g,1.50 mm,3.50 mm
Gateron Ink Box Kangaroo - 63g,Tactile,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,48g,63g,1.50 mm,3.50 mm
Gateron Ink Box Pink,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Stainless Steel Spring,50g,60g,1.80 mm,3.60 mm
Gateron Ink Red,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,45g,60g,2.00 mm,4.00 mm
Gateron Ink Red V2,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,45g,60g,2.00 mm,4.00 mm
Gateron Ink Yellow,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,60g,67g,1.50 mm,3.50 mm
Gateron Ink Yellow V2,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),Gold-Plated Spring,60g,67g,1.50 mm,3.50 mm
Gateron Jupiter Banana,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,59g,69g,2.00 mm,3.40 mm
Gateron Jupiter Brown,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,70g,2.00 mm,4.00 mm
Gateron Jupiter Red,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Gateron KS-1 Rantopad Orange,Linear,,,,Plate (3-pin),Stainless Steel Spring,,,,
Gateron KS-3X Black,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,75g,2.00 mm,4.00 mm
Gateron KS-3X Blue,Clicky,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,75g,2.30 mm,4.00 mm
Gateron KS-3X Brown,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,70g,2.00 mm,4.00 mm
Gateron KS-3X Green,Clicky,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,80g,95g,2.30 mm,4.00 mm
Gateron KS-3X Red,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Gateron KS-3X White,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,50g,2.00 mm,4.00 mm
Gateron KS-3X Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,65g,2.00 mm,4.00 mm
Gateron KS-3X47 Black,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Gateron KS-3X47 Blue,Clicky,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,2.30 mm,4.00 mm
Gateron KS-3X47 Brown,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Gateron KS-3X47 Green,Clicky,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,80g,,2.30 mm,4.00 mm
Gateron KS-3X47 Pro,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Gateron KS-3X47 Red,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Gateron KS-3X47 White,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,,2.00 mm,4.00 mm
Gateron KS-3X47 Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Gateron KS-15 Black,Linear,PC,Nylon,POM,,Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Gateron KS-15 Blue,Clicky,PC,Nylon,POM,,Stainless Steel Spring,55g,,2.30 mm,4.00 mm
Gateron KS-15 Brown,Tactile,PC,Nylon,POM,,Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Gateron KS-15 Red,Linear,PC,Nylon,POM,,Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Gateron KS-15 Silver,Linear,PC,Nylon,POM,,Stainless Steel Spring,45g,,1.00 mm,3.20 mm
Gateron KS-15 White,Linear,PC,Nylon,POM,,Stainless Steel Spring,35g,,2.00 mm,4.00 mm
Gateron KS-15 Yellow,Linear,PC,Nylon,POM,,Stainless Steel Spring,35g,,1.00 mm,3.20 mm
Gateron KS-22 Black,Linear,PC,Nylon,POM,,Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Gateron KS-22 Blue,Clicky,PC,Nylon,POM,,Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Gateron KS-22 Brown,Tactile,PC,Nylon,POM,,Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Gateron KS-22 Red,Linear,PC,Nylon,POM,,Stainless Steel Spring,45g,,2.00 mm,3.20 mm
Gateron KS-22 Silver,Linear,PC,Nylon,POM,,Stainless Steel Spring,45g,,1.00 mm,3.20 mm
Gateron KS-22 White,Linear,PC,Nylon,POM,,Stainless Steel Spring,35g,,2.00 mm,4.00 mm
Gateron KS-22 Yellow,Linear,PC,Nylon,POM,,Stainless Steel Spring,35g,,1.00 mm,3.20 mm
Gateron Limbo,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,1.50 mm,3.50 mm
Gateron Linjär,Linear,Nylon,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,65g,2.00 mm,4.00 mm
Gateron Lion,Linear,Gateron KS3 Mold,Gateron KS3 Mold,POM,PCB (5-pin),Gold-Plated Spring,,63.5g,,
Gateron Low Profile 2.0 Banana,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,1.70 mm,3.00 mm
Gateron Low Profile 2.0 Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,65g,70g,1.70 mm,3.20 mm
Gateron Low Profile 2.0 Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,55g,60g,1.70 mm,3.20 mm
Gateron Low Profile 2.0 Chocolate,Tactile,POK,POM,POM,Plate (3-pin),Stainless Steel Spring,55g,,1.70 mm,3.00 mm
Gateron Low Profile 2.0 Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,1.70 mm,3.20 mm
Gateron Low Profile 2.0 Silver,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,,1.70 mm,3.20 mm
Gateron Luciola,Linear,Proprietary INK Blend,Proprietary INK Blend,POM,PCB (5-pin),22 mm Two-Stage Long Spring,55g,60g,2.00 mm,3.60 mm
Gateron Lunar Probe,Linear,PC,Nylon,POM,PCB (5-pin),Two-Stage Spring,45g,50g,1.80 mm,3.60 mm
Gateron Maestro,Linear,PC,Nylon,UHMWPE,PCB (5-pin),22 mm Stainless Steel Spring,,58g,2.00 mm,4.00 mm
Gateron Magnetic Dual-Rail Jade Mini E,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,30g,50g,,3.50 mm
Gateron Magnetic Dual-Rail Orange (KS-20),Hall Effect,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,30g,,,4.10 mm
Gateron Magnetic Fox,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,30g,50g,,4.00 mm
Gateron Magnetic HE Orange (KS-20),Hall Effect,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,38g,,,4.10 mm
Gateron Magnetic HE White (KS-20),Hall Effect,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,30g,,,4.10 mm
Gateron Magnetic Jade,Hall Effect,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,30g,,,3.50 mm
Gateron Magnetic Pink Jade,Hall Effect,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,30g,,,3.50 mm
Gateron Mars,Linear,Nylon,POM,POK,PCB (5-pin),Two-Stage Spring,45g,,1.20 mm,3.60 mm
Gateron Melodic,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Gateron Merlot,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,,
Gateron Milky Black,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Gateron Milky Blue,Clicky,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,2.30 mm,4.00 mm
Gateron Milky Brown,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Gateron Milky Green,Clicky,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,80g,,2.30 mm,4.00 mm
Gateron Milky Red,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Gateron Milky Red Pro (KS-3),Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,52g,2.00 mm,4.00 mm
Gateron Milky White,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,,2.00 mm,4.00 mm
Gateron Milky Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Gateron Milky Yellow Pro (KS-3),Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,62g,2.00 mm,4.00 mm
Gateron Mini,Linear,Proprietary Milky Blend,Proprietary Milky Blend,POM,PCB (5-pin),Stainless Steel Spring,50g,62g,,
Gateron Mini i,Tactile,Nylon,Nylon,POM,PCB (5-pin),22 mm Two-Stage Spring,40g,50g,1.40 mm,3.40 mm
Gateron Mizu Mink,Linear,Proprietary Milky Blend,Proprietary INK Blend,POM,PCB (5-pin),Stainless-Steel Spring,50g,62g,,
Gateron Mochi,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,63.5g,2.00 mm,4.00 mm
Gateron Mountain Top,Linear,Nylon,Nylon,POM,PCB (5-pin),22 mm Double-Stage Spring,40g,50g,1.40 mm,3.40 mm
Gateron N1,Linear,Nylon,Nylon,POM,PCB (5-pin),Gold-Plated spring,52g,67g,2.00 mm,4.00 mm
Gateron New North Pole V2,Linear,PC,PC,INK,PCB (5-pin),15.4 mm Gold-Plated Spring,50g,62.5g,2.00 mm,4.00 mm
Gateron North Pole Brown V2,Tactile,PC,PC,INK,PCB (5-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
Gateron North Pole Red V2,Linear,PC,PC,INK,PCB (5-pin),Stainless Steel Spring,45g,50g,2.00 mm,3.80 mm
Gateron North Pole Silver V2,Linear,PC,PC,INK,PCB (5-pin),Stainless Steel Spring,43g,50g,1.20 mm,3.40 mm
Gateron North Pole Transparent,Linear,PC,PC,INK,PCB (5-pin),Gold-Plated Spring,50g,65g,2.00 mm,4.00 mm
Gateron North Pole Yellow V2,Linear,PC,PC,INK,PCB (5-pin),Stainless Steel Spring,50g,67g,2.00 mm,4.00 mm
Gateron Oil King,Linear,Nylon,Proprietary INK Blend,POM,PCB (5-pin),Color-Coated Spring,55g,65g,2.00 mm,4.00 mm
Gateron Orange,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,55g,65g,2.00 mm,4.00 mm
Gateron Phantom Blue,Clicky,Proprietary INK Blend,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.30 mm,4.00 mm
Gateron Phantom Brown,Tactile,Proprietary INK Blend,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
Gateron Phantom Red,Linear,Proprietary INK Blend,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,50g,2.00 mm,4.00 mm
Gateron Phantom Yellow,Linear,Proprietary INK Blend,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Gateron Pink,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Gateron Pro Ultra Glory Red,Linear,Nylon,Nylon,POK,PCB (5-pin),20 mm Stainless Steel Spring,45g,,2.00 mm,3.60 mm
Gateron Pro Ultra Glory Yellow,Linear,Nylon,Nylon,POK,PCB (5-pin),15 mm Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Gateron Purple Crystal,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Spring,40g,45g,,3.60 mm
Gateron Quinn,Tactile,Nylon,Nylon,POM,PCB (5-pin),22 mm Two-Stage Gold-Plated Spring,59g,67g,2.00 mm,3.40 mm
Gateron RAW,Linear,PC,Nylon,POM,PCB (5-pin),Single-Stage Spring,,62.5g,2.00 mm,3.70 mm
Gateron Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Gateron Red 2.0 Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Gateron Red Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Gateron Robin - 62g,Linear,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,62g,67g,,
Gateron Robin - 67g,Linear,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,67g,72g,,
Gateron Root Beer Float,Tactile,Proprietary Milky Blend,Proprietary INK Blend,INK,PCB (5-pin),22 mm Gold-Plated Extension Spring,,58g,,3.50 mm
Gateron Slate,Linear,,,,PCB (5-pin),Stainless Steel Spring,40g,60g,1.50 mm,3.50 mm
Gateron Smoothie,Linear,POM,POM,POM,PCB (5-pin),22 mm Two-Stage Extension Spring,40g,,2.00 mm,3.60 mm
Gateron Smoothie Sea Salt,Linear,POM,POM,POM,PCB (5-pin),22 mm Double-Stage Extension Spring,48g,,2.00 mm,3.70 mm
Gateron Smoothie Silver,Linear,POM,POM,POM,PCB (5-pin),22 mm Double-Stage Extension Spring,45g,,1.20 mm,3.40 mm
Gateron Snow Rabbit,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Gateron SolDarks,Tactile,Proprietary Milky Blend,Proprietary Milky Blend,POM,PCB (5-pin),Stainless Steel Spring,,60g,,
Gateron Summertime AX,Linear,POM,POM,INK,PCB (5-pin),20 mm Two-Stage Spring,,63g,,3.80 mm
Gateron Summertime BX,Linear,POM,POM,INK,PCB (5-pin),20 mm Two-Stage Spring,,63g,,3.80 mm
Gateron Summertime V2,Linear,POM,POM,INK,PCB (5-pin),20 mm Two-Stage Spring,,63.5g,,3.80 mm
Gateron Type A,Linear,Nylon,Nylon,POM,PCB (5-pin),20 mm Single-Stage Spring,50g,55g,2.00 mm,4.00 mm
Gateron Type L,Linear,Nylon,Nylon,POM,PCB (5-pin),22 mm Single-Stage Spring,38g,45g,2.00 mm,4.00 mm
Gateron Type S,Linear,Nylon,Nylon,POM,PCB (5-pin),18 mm Single-Stage Spring,55g,65g,2.00 mm,4.00 mm
Gateron UHMknown,Linear,Nylon,Proprietary INK Blend,UHMWPE,PCB (5-pin),20 mm Stainless Steel Spring,50g,57g,2.00 mm,4.00 mm
Gateron Unicorn,Linear,PC,Nylon,POM,PCB (5-pin),18 mm Two-Stage Spring,50g,80g,2.00 mm,4.00 mm
Gateron Weightlessness,Tactile,Nylon,Nylon,POM,PCB (5-pin),Two-Stage Spring,50g,,2.00 mm,3.40 mm
Gateron White 2.0 Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,35g,50g,2.00 mm,4.00 mm
Gateron White Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,35g,,2.00 mm,4.00 mm
Gateron X,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,65g,,
Gateron Yellow,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Gateron Yellow 2.0 Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,65g,2.00 mm,4.00 mm
Gateron Yellow Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Gateron Zero Degree 0° Silent,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Extension Spring,45g,,1.80 mm,3.60 mm
Gazzew Boba Black U4 RGB Silent - 62g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),14 mm Stainless Steel Korean Spring,45g,62g,,3.60 mm
Gazzew Boba Black U4 RGB Silent - 68g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),14 mm Stainless Steel Korean Spring,,68g,,3.60 mm
Gazzew Boba Black U4 Silent - 62g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),14 mm Stainless Steel Korean Spring,45g,62g,,3.60 mm
Gazzew Boba Black U4 Silent - 68g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),14 mm Stainless Steel Korean Spring,,68g,,3.60 mm
Gazzew Boba Black U4T - 62g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,,62g,,4.00 mm
Gazzew Boba Black U4T - 68g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,39g,68g,,4.00 mm
Gazzew Boba Black U4T RGB V2 - 62g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,,62g,,4.00 mm
Gazzew Boba Black U4T RGB V2 - 63.5g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,,63.5g,,4.00 mm
Gazzew Boba Black U4T RGB V2 - 68g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,39g,68g,,4.00 mm
Gazzew Boba Black U4T V2 - 62g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,,62g,,4.00 mm
Gazzew Boba Black U4T V2 - 63.5g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,,63.5g,,4.00 mm
Gazzew Boba Black U4T V2 - 68g,Tactile,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),17.5 mm Stainless Steel Korean Spring,39g,68g,,4.00 mm
Gazzew Boba LT - 55g,Linear,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),Stainless Steel Korean Spring,,55g,,3.20 mm
Gazzew Boba LT - 65g,Linear,Proprietary Gazzew Blend,Proprietary Gazzew Blend,POM,PCB (5-pin),Stainless Steel Korean Spring,,65g,,3.20 mm
